Color,Value,Variable,,,
#f6e753,877,SRAD,,,
#f6e958,888,SRAD,,,
#f5ea5b,898,SRAD,,,
#f4f46d,908,SRAD,,,
#f6f669,918,SRAD,,,
#f8f867,928,SRAD,,,
#fafa65,938,SRAD,,,
#fdfd6a,948,SRAD,,,
#fdfd82,958,SRAD,,,
#fdfd80,968,SRAD,,,
#fdfd8f,978,SRAD,,,
#fdfd92,988,SRAD,,,
#fdfda3,999,SRAD,,,
#fdfdb1,1009,SRAD,,,
#fdfdb2,1019,SRAD,,,
#fdfdd6,1029,SRAD,,,
#fdfdd2,1039,SRAD,,,
#fdfdf0,1049,SRAD,,,
#fdfdef,1059,SRAD,,,
#fdfdfe,1069,SRAD,,,
#fefefe,1079,SRAD,,,
#ffffff,1089,SRAD,,,
#ffffff,1100,SRAD,,,
#ffffff,5,WIND,,,
#fefefe,10,WIND,,,
#f4f7fe,15,WIND,,,
#dde6fe,20,WIND,,,
#c9d8fe,25,WIND,,,
#b4c8fe,30,WIND,,,
#a1bdfe,35,WIND,,,
#839efe,40,WIND,,,
#778bfc,45,WIND,,,
#6776f7,50,WIND,,,
#3c6af9,55,WIND,,,
#0064fc,60,WIND,,,
#0080c0,65,WIND,,,
#009d86,70,WIND,,,
#00b84f,75,WIND,,,
#1cd524,80,WIND,,,
#54f508,85,WIND,,,
#78fe00,90,WIND,,,
#97fe02,95,WIND,,,
#b2fe1f,100,WIND,,,
#cffe2a,105,WIND,,,
#effe0e,110,WIND,,,
#feee00,115,WIND,,,
#fec400,120,WIND,,,
#fe9d00,125,WIND,,,
#fe8900,130,WIND,,,
#fe6900,135,WIND,,,
#fe3200,140,WIND,,,
#fe1900,145,WIND,,,
#ff0000,150,WIND,,,
#0a6de0,0,LRAD,,,
#0a6cdd,3,LRAD,,,
#0a6fea,6,LRAD,,,
#0b72f7,9,LRAD,,,
#0b71f6,12,LRAD,,,
#0b71f7,15,LRAD,,,
#0b70f9,18,LRAD,,,
#0a6ff7,21,LRAD,,,
#0a6ef3,24,LRAD,,,
#0a70f0,27,LRAD,,,
#0a70f0,30,LRAD,,,
#0e80f5,33,LRAD,,,
#0f8bf7,36,LRAD,,,
#0f87f7,39,LRAD,,,
#0f8bf8,42,LRAD,,,
#129afc,45,LRAD,,,
#139ffe,48,LRAD,,,
#139efe,51,LRAD,,,
#14a2fe,54,LRAD,,,
#17a9fe,57,LRAD,,,
#17a9fe,60,LRAD,,,
#17a9fe,63,LRAD,,,
#19b0fe,66,LRAD,,,
#1bb7fe,69,LRAD,,,
#1ab7fe,72,LRAD,,,
#1fb8fe,75,LRAD,,,
#35befe,78,LRAD,,,
