Color,Value,Variable,,,
#0227ca,45.346,O3,,,
#0226cc,45.633,O3,,,
#0227ca,45.92,O3,,,
#022bc4,46.207,O3,,,
#022dc1,46.494,O3,,,
#022ebf,46.781,O3,,,
#022ec0,47.068,O3,,,
#022fbf,47.355,O3,,,
#0231bd,47.642,O3,,,
#0233b9,47.929,O3,,,
#0232ba,48.216,O3,,,
#0337b4,48.503,O3,,,
#033ab0,48.79,O3,,,
#0339b1,49.077,O3,,,
#033ab0,49.364,O3,,,
#033bae,49.651,O3,,,
#033eaa,49.938,O3,,,
#033dab,50.225,O3,,,
#0340a8,50.512,O3,,,
#0342a6,50.799,O3,,,
#0340a8,51.086,O3,,,
#0342a5,51.373,O3,,,
#03479f,51.66,O3,,,
#03499c,51.947,O3,,,
#034a9b,52.234,O3,,,
#03499c,52.521,O3,,,
#034b99,52.808,O3,,,
#044e96,53.095,O3,,,
#044d98,53.382,O3,,,
#044e96,53.669,O3,,,
#045290,53.956,O3,,,
#04548e,54.243,O3,,,
#04558d,54.53,O3,,,
#04558e,54.817,O3,,,
#04568c,55.104,O3,,,
#045888,55.391,O3,,,
#045889,55.678,O3,,,
#045a85,55.965,O3,,,
#045986,56.252,O3,,,
#045e81,56.539,O3,,,
#04617d,56.826,O3,,,
#04607e,57.113,O3,,,
#04607d,57.4,O3,,,
#04627a,57.687,O3,,,
#046477,57.974,O3,,,
#046576,58.261,O3,,,
#046477,58.548,O3,,,
#046773,58.835,O3,,,
#056b6e,59.122,O3,,,
#056a6f,59.409,O3,,,
#056b6e,59.696,O3,,,
#056e6b,59.983,O3,,,
#057068,60.27,O3,,,
#057166,60.557,O3,,,
#057168,60.844,O3,,,
#057265,61.131,O3,,,
#057462,61.418,O3,,,
#057463,61.705,O3,,,
#05795c,61.992,O3,,,
#05795d,62.279,O3,,,
#057b59,62.566,O3,,,
#057c57,62.853,O3,,,
#057c58,63.14,O3,,,
#057d57,63.427,O3,,,
#067e55,63.714,O3,,,
#06834e,64.001,O3,,,
#06854c,64.288,O3,,,
#06834e,64.575,O3,,,
#06864b,64.862,O3,,,
#068849,65.149,O3,,,
#06874a,65.436,O3,,,
#068749,65.723,O3,,,
#068946,66.01,O3,,,
#068b43,66.297,O3,,,
#068c42,66.584,O3,,,
#068b43,66.871,O3,,,
#068e3f,67.158,O3,,,
#06923a,67.445,O3,,,
#06913b,67.732,O3,,,
#079437,68.019,O3,,,
#079634,68.306,O3,,,
#079732,68.593,O3,,,
#079733,68.88,O3,,,
#079832,69.167,O3,,,
#079a30,69.454,O3,,,
#079f29,69.741,O3,,,
#07a027,70.028,O3,,,
#07a029,70.315,O3,,,
#07a226,70.602,O3,,,
#07a423,70.889,O3,,,
#07a324,71.176,O3,,,
#07a323,71.463,O3,,,
#07a521,71.75,O3,,,
#08aa1b,72.037,O3,,,
#08ac19,72.324,O3,,,
#08ab1b,72.611,O3,,,
#08ac18,72.898,O3,,,
#08ad15,73.185,O3,,,
#08ad16,73.472,O3,,,
#08ad15,73.759,O3,,,
#08b012,74.046,O3,,,
#09b210,74.333,O3,,,
#09b30f,74.62,O3,,,
#08b30f,74.907,O3,,,
#0cb40f,75.194,O3,,,
#12b50e,75.481,O3,,,
#11b50e,75.768,O3,,,
#15b60e,76.055,O3,,,
#14b60e,76.342,O3,,,
#18b70e,76.629,O3,,,
#1ab70e,76.916,O3,,,
#18b70e,77.203,O3,,,
#1bb80e,77.49,O3,,,
#22ba0e,77.777,O3,,,
#21ba0e,78.064,O3,,,
#24bb0d,78.351,O3,,,
#25bb0d,78.638,O3,,,
#24bb0d,78.925,O3,,,
#27bc0d,79.212,O3,,,
#2abd0d,79.499,O3,,,
#29bd0d,79.786,O3,,,
#2abd0d,80.073,O3,,,
#2dbe0d,80.36,O3,,,
#32c00d,80.647,O3,,,
#35c00d,80.934,O3,,,
#33c00d,81.221,O3,,,
#36c00d,81.508,O3,,,
#39c10c,81.795,O3,,,
#38c10c,82.082,O3,,,
#3cc30c,82.369,O3,,,
#3bc30c,82.656,O3,,,
#42c40b,82.943,O3,,,
#46c50b,83.23,O3,,,
#44c50b,83.517,O3,,,
#46c50b,83.804,O3,,,
#49c60b,84.091,O3,,,
#4dc70b,84.378,O3,,,
#4fc80b,84.665,O3,,,
#51c80b,84.952,O3,,,
#4fc80b,85.239,O3,,,
#52c90b,85.526,O3,,,
#59cb0a,85.813,O3,,,
#58cb0a,86.1,O3,,,
#5bcc0a,86.387,O3,,,
#5ccc0a,86.674,O3,,,
#5bcc0a,86.961,O3,,,
#5ecd0a,87.248,O3,,,
#61ce09,87.535,O3,,,
#60ce09,87.822,O3,,,
#61ce09,88.109,O3,,,
#65cf09,88.396,O3,,,
#64cf09,88.683,O3,,,
#6ad109,88.97,O3,,,
#6dd209,89.257,O3,,,
#6bd209,89.544,O3,,,
#6dd209,89.831,O3,,,
#71d309,90.118,O3,,,
#70d309,90.405,O3,,,
#74d408,90.692,O3,,,
#73d408,90.979,O3,,,
#79d508,91.266,O3,,,
#7dd608,91.553,O3,,,
#7bd608,91.84,O3,,,
#7dd608,92.127,O3,,,
#81d708,92.414,O3,,,
#84d908,92.701,O3,,,
#85d908,92.988,O3,,,
#84d908,93.275,O3,,,
#87da07,93.562,O3,,,
#8ada07,93.849,O3,,,
#88da07,94.136,O3,,,
#8ada07,94.423,O3,,,
#90dc07,94.71,O3,,,
#93dd06,94.997,O3,,,
#94dd06,95.284,O3,,,
#93dd06,95.571,O3,,,
#96dd06,95.858,O3,,,
#99de06,96.145,O3,,,
#97de06,96.432,O3,,,
#99de06,96.719,O3,,,
#a0e106,97.006,O3,,,
#9fe106,97.293,O3,,,
#a3e206,97.58,O3,,,
#a5e306,97.867,O3,,,
#a3e306,98.154,O3,,,
#a5e306,98.441,O3,,,
#a8e405,98.728,O3,,,
#ace505,99.015,O3,,,
#abe505,99.302,O3,,,
#b0e604,99.589,O3,,,
#b5e704,99.876,O3,,,
#b4e704,100.163,O3,,,
#b5e704,100.45,O3,,,
#b8e904,100.737,O3,,,
#bbea04,101.024,O3,,,
#bcea04,101.311,O3,,,
#bbea04,101.598,O3,,,
#c0eb04,101.885,O3,,,
#c5ec04,102.172,O3,,,
#c4ec04,102.459,O3,,,
#c8ed03,102.746,O3,,,
#cbee03,103.033,O3,,,
#cdee03,103.32,O3,,,
#cbee03,103.607,O3,,,
#cdef03,103.894,O3,,,
#d1f003,104.181,O3,,,
#d0f003,104.468,O3,,,
#d7f203,104.755,O3,,,
#d9f203,105.042,O3,,,
#d7f203,105.329,O3,,,
#daf302,105.616,O3,,,
#ddf402,105.903,O3,,,
#dbf402,106.19,O3,,,
#ddf402,106.477,O3,,,
#e0f502,106.764,O3,,,
#e3f602,107.051,O3,,,
#e2f502,107.338,O3,,,
#e7f701,107.625,O3,,,
#ecfa01,107.912,O3,,,
#ebf901,108.199,O3,,,
#ecf901,108.486,O3,,,
#f0fa01,108.773,O3,,,
#f3fb01,109.06,O3,,,
#f4fb01,109.347,O3,,,
#f3fb01,109.634,O3,,,
#f7fc01,109.921,O3,,,
#fdfd00,110.208,O3,,,
#fcfd00,110.495,O3,,,
#fefc00,110.782,O3,,,
#fefa00,111.069,O3,,,
#fef900,111.356,O3,,,
#fefa00,111.643,O3,,,
#fef800,111.93,O3,,,
#fef500,112.217,O3,,,
#feee00,112.504,O3,,,
#feec00,112.791,O3,,,
#feee00,113.078,O3,,,
#feeb00,113.365,O3,,,
#fee800,113.652,O3,,,
#fee900,113.939,O3,,,
#fee800,114.226,O3,,,
#fee500,114.513,O3,,,
#fedf00,114.8,O3,,,
#fedc00,115.087,O3,,,
#fede00,115.374,O3,,,
#fedb00,115.661,O3,,,
#fed800,115.948,O3,,,
#fed900,116.235,O3,,,
#fed500,116.522,O3,,,
#fed200,116.809,O3,,,
#fed000,117.096,O3,,,
#fed200,117.383,O3,,,
#fece00,117.67,O3,,,
#fec800,117.957,O3,,,
#fec900,118.244,O3,,,
#fec500,118.531,O3,,,
#fec600,118.818,O3,,,
#fec300,119.105,O3,,,
#fec000,119.392,O3,,,
#fec200,119.679,O3,,,
#febf00,119.966,O3,,,
#feb900,120.253,O3,,,
#feba00,120.54,O3,,,
#feb700,120.827,O3,,,
#feb600,121.114,O3,,,
#feb700,121.401,O3,,,
#feb400,121.688,O3,,,
#feb000,121.975,O3,,,
#feb100,122.262,O3,,,
#feb000,122.549,O3,,,
#fead00,122.836,O3,,,
#feae00,123.123,O3,,,
#fea700,123.41,O3,,,
#fea400,123.697,O3,,,
#fea500,123.984,O3,,,
#fea400,124.271,O3,,,
#fea200,124.558,O3,,,
#fe9e00,124.845,O3,,,
#fe9f00,125.132,O3,,,
#fe9b00,125.419,O3,,,
#fe9900,125.706,O3,,,
#fe9b00,125.993,O3,,,
#fe9800,126.28,O3,,,
#fe9100,126.567,O3,,,
#fe9200,126.854,O3,,,
#fe8e00,127.141,O3,,,
#fe8f00,127.428,O3,,,
#fe8c00,127.715,O3,,,
#fe8900,128.002,O3,,,
#fe8b00,128.289,O3,,,
#fe8800,128.576,O3,,,
#fe8200,128.863,O3,,,
#fe7f00,129.15,O3,,,
#fe7e00,129.437,O3,,,
#fe7f00,129.724,O3,,,
#fe7c00,130.011,O3,,,
#fe7900,130.298,O3,,,
#fe7a00,130.585,O3,,,
#fe7600,130.872,O3,,,
#fe7700,131.159,O3,,,
#fe7100,131.446,O3,,,
#fe6d00,131.733,O3,,,
#fe6f00,132.02,O3,,,
#fe6d00,132.307,O3,,,
#fe6900,132.594,O3,,,
#fe6a00,132.881,O3,,,
#fe6700,133.168,O3,,,
#fe6800,133.455,O3,,,
#fe6200,133.742,O3,,,
#fe5e00,134.029,O3,,,
#fe5f00,134.316,O3,,,
#fe5e00,134.603,O3,,,
#fe5b00,134.89,O3,,,
#fe5800,135.177,O3,,,
#fe5700,135.464,O3,,,
#fe5800,135.751,O3,,,
#fe5500,136.038,O3,,,
#fe5200,136.325,O3,,,
#fe5400,136.612,O3,,,
#fe5200,136.899,O3,,,
#fe4b00,137.186,O3,,,
#fe4800,137.473,O3,,,
#fe4600,137.76,O3,,,
#fe4800,138.047,O3,,,
#fe4500,138.334,O3,,,
#fe4200,138.621,O3,,,
#fe4400,138.908,O3,,,
#fe4300,139.195,O3,,,
#fe3b00,139.482,O3,,,
#fe3a00,139.769,O3,,,
#fe3c00,140.056,O3,,,
#fe3800,140.343,O3,,,
#fe3600,140.63,O3,,,
#fe3800,140.917,O3,,,
#fe3600,141.204,O3,,,
#fe3300,141.491,O3,,,
#fe3000,141.778,O3,,,
#fe2f00,142.065,O3,,,
#fe3000,142.352,O3,,,
#fe2b00,142.639,O3,,,
#fe2700,142.926,O3,,,
#fe2800,143.213,O3,,,
#fe2700,143.5,O3,,,
#fe2400,143.787,O3,,,
#fe2100,144.074,O3,,,
#fe2000,144.361,O3,,,
#fe2100,144.648,O3,,,
#fe1e00,144.935,O3,,,
#fe1b00,145.222,O3,,,
#fe1d00,145.509,O3,,,
#fe1b00,145.796,O3,,,
#fe1300,146.083,O3,,,
#fe1000,146.37,O3,,,
#fe0e00,146.657,O3,,,
#fe0f00,146.944,O3,,,
#fe0e00,147.231,O3,,,
#fe0c00,147.518,O3,,,
#fe0500,147.805,O3,,,
#fe0300,148.092,O3,,,
#fe0500,148.379,O3,,,
#fe0200,148.666,O3,,,
#fe0000,148.953,O3,,,
#ff0000,149.24,O3,,,
#e70000,149.527,O3,,,
#9a0000,149.814,O3,,,
#480000,150,O3,,,
#ffffff,0,SO2,,,
#fbfbfe,0.458,SO2,,,
#f9f9fe,0.916,SO2,,,
#fbfbfe,1.374,SO2,,,
#f8f8fe,1.832,SO2,,,
#f1f1fe,2.29,SO2,,,
#f2f2fe,2.748,SO2,,,
#efeffe,3.206,SO2,,,
#f0f0fe,3.664,SO2,,,
#ededfe,4.122,SO2,,,
#eaeafe,4.58,SO2,,,
#ececfe,5.038,SO2,,,
#e9e9fe,5.496,SO2,,,
#e2e2fe,5.954,SO2,,,
#dfdffe,6.412,SO2,,,
#dedefe,6.87,SO2,,,
#dfdffe,7.328,SO2,,,
#dcdcfe,7.786,SO2,,,
#d9d9fe,8.244,SO2,,,
#dadafe,8.702,SO2,,,
#d6d6fe,9.16,SO2,,,
#d7d7fe,9.618,SO2,,,
#d1d1fe,10.076,SO2,,,
#cecefe,10.534,SO2,,,
#d0d0fe,10.992,SO2,,,
#cecefe,11.45,SO2,,,
#cbcbfe,11.908,SO2,,,
#c7c7fe,12.366,SO2,,,
#c8c8fe,12.824,SO2,,,
#c2c2fe,13.282,SO2,,,
#bebefe,13.74,SO2,,,
#bfbffe,14.198,SO2,,,
#bebefe,14.656,SO2,,,
#bbbbfe,15.114,SO2,,,
#b8b8fe,15.572,SO2,,,
#b7b7fe,16.03,SO2,,,
#b8b8fe,16.488,SO2,,,
#b5b5fe,16.946,SO2,,,
#b2b2fe,17.404,SO2,,,
#b4b4fe,17.862,SO2,,,
#b2b2fe,18.32,SO2,,,
#ababfe,18.778,SO2,,,
#a8a8fe,19.236,SO2,,,
#a6a6fe,19.694,SO2,,,
#a8a8fe,20.152,SO2,,,
#a6a6fe,20.61,SO2,,,
#a2a2fe,21.068,SO2,,,
#a3a3fe,21.526,SO2,,,
#9f9ffe,21.984,SO2,,,
#a0a0fe,22.442,SO2,,,
#9a9afe,22.9,SO2,,,
#9696fe,23.358,SO2,,,
#9797fe,23.816,SO2,,,
#9696fe,24.274,SO2,,,
#9494fe,24.732,SO2,,,
#9191fe,25.19,SO2,,,
#9090fe,25.648,SO2,,,
#9191fe,26.106,SO2,,,
#8c8cfe,26.564,SO2,,,
#8787fe,27.022,SO2,,,
#8888fe,27.48,SO2,,,
#8787fe,27.938,SO2,,,
#8484fe,28.396,SO2,,,
#8181fe,28.854,SO2,,,
#8080fe,29.312,SO2,,,
#8181fe,29.77,SO2,,,
#7e7efe,30.228,SO2,,,
#7b7bfe,30.686,SO2,,,
#7d7dfe,31.144,SO2,,,
#7b7bfe,31.602,SO2,,,
#7474fe,32.06,SO2,,,
#7575fe,32.518,SO2,,,
#7171fe,32.976,SO2,,,
#6f6ffe,33.434,SO2,,,
#7171fe,33.892,SO2,,,
#6f6ffe,34.35,SO2,,,
#6c6cfe,34.808,SO2,,,
#6565fe,35.266,SO2,,,
#6363fe,35.724,SO2,,,
#6565fe,36.182,SO2,,,
#6262fe,36.64,SO2,,,
#5f5ffe,37.098,SO2,,,
#6060fe,37.556,SO2,,,
#5f5ffe,38.014,SO2,,,
#5c5cfe,38.472,SO2,,,
#5a5afe,38.93,SO2,,,
#5959fe,39.388,SO2,,,
#5a5afe,39.846,SO2,,,
#5555fe,40.304,SO2,,,
#5050fe,40.762,SO2,,,
#5151fe,41.22,SO2,,,
#4d4dfe,41.678,SO2,,,
#4e4efe,42.136,SO2,,,
#4949fe,42.594,SO2,,,
#4747fe,43.052,SO2,,,
#4949fe,43.51,SO2,,,
#4545fe,43.968,SO2,,,
#3f3ffe,44.426,SO2,,,
#4040fe,44.884,SO2,,,
#3d3dfe,45.342,SO2,,,
#3e3efe,45.8,SO2,,,
#3b3bfe,46.258,SO2,,,
#3838fe,46.716,SO2,,,
#3a3afe,47.174,SO2,,,
#3838fe,47.632,SO2,,,
#3535fe,48.09,SO2,,,
#2e2efe,48.548,SO2,,,
#2c2cfe,49.006,SO2,,,
#2e2efe,49.464,SO2,,,
#2b2bfe,49.922,SO2,,,
#2828fe,50.38,SO2,,,
#2929fe,50.838,SO2,,,
#2828fe,51.296,SO2,,,
#2525fe,51.754,SO2,,,
#2222fe,52.212,SO2,,,
#2121fe,52.67,SO2,,,
#2222fe,53.128,SO2,,,
#1e1efe,53.586,SO2,,,
#1818fe,54.044,SO2,,,
#1919fe,54.502,SO2,,,
#1515fe,54.96,SO2,,,
#1616fe,55.418,SO2,,,
#1212fe,55.876,SO2,,,
#1010fe,56.334,SO2,,,
#1212fe,56.792,SO2,,,
#0f0ffe,57.25,SO2,,,
#0808fe,57.708,SO2,,,
#0909fe,58.166,SO2,,,
#0505fe,58.624,SO2,,,
#0606fe,59.082,SO2,,,
#0303fe,59.54,SO2,,,
#0101fe,59.998,SO2,,,
#0202fe,60.456,SO2,,,
#0002fc,60.914,SO2,,,
#0006f6,61.372,SO2,,,
#0008f3,61.83,SO2,,,
#0006f5,62.288,SO2,,,
#0008f2,62.746,SO2,,,
#000bef,63.204,SO2,,,
#000af0,63.662,SO2,,,
#010ced,64.12,SO2,,,
#010bee,64.578,SO2,,,
#0110e7,65.036,SO2,,,
#0113e4,65.494,SO2,,,
#0112e5,65.952,SO2,,,
#0113e4,66.41,SO2,,,
#0115e2,66.868,SO2,,,
#0118de,67.326,SO2,,,
#011adc,67.784,SO2,,,
#011bdb,68.242,SO2,,,
#011adc,68.7,SO2,,,
#011cd9,69.158,SO2,,,
#0120d2,69.616,SO2,,,
#0120d3,70.074,SO2,,,
#0223d0,70.532,SO2,,,
#0223cf,70.99,SO2,,,
#0222d0,71.448,SO2,,,
#0224cd,71.906,SO2,,,
#0227ca,72.364,SO2,,,
#0226cc,72.822,SO2,,,
#0227ca,73.28,SO2,,,
#022bc4,73.738,SO2,,,
#022dc1,74.196,SO2,,,
#022ebf,74.654,SO2,,,
#022ec0,75.112,SO2,,,
#022fbf,75.57,SO2,,,
#0231bd,76.028,SO2,,,
#0233b9,76.486,SO2,,,
#0232ba,76.944,SO2,,,
#0337b4,77.402,SO2,,,
#033ab0,77.86,SO2,,,
#0339b1,78.318,SO2,,,
#033ab0,78.776,SO2,,,
#033bae,79.234,SO2,,,
#033eaa,79.692,SO2,,,
#033dab,80.15,SO2,,,
#0340a8,80.608,SO2,,,
#0342a6,81.066,SO2,,,
#0340a8,81.524,SO2,,,
#0342a5,81.982,SO2,,,
#03479f,82.44,SO2,,,
#03499c,82.898,SO2,,,
#034a9b,83.356,SO2,,,
#03499c,83.814,SO2,,,
#034b99,84.272,SO2,,,
#044e96,84.73,SO2,,,
#044d98,85.188,SO2,,,
#044e96,85.646,SO2,,,
#045290,86.104,SO2,,,
#04548e,86.562,SO2,,,
#04558d,87.02,SO2,,,
#04558e,87.478,SO2,,,
#04568c,87.936,SO2,,,
#045888,88.394,SO2,,,
#045889,88.852,SO2,,,
#045a85,89.31,SO2,,,
#045986,89.768,SO2,,,
#045e81,90.226,SO2,,,
#04617d,90.684,SO2,,,
#04607e,91.142,SO2,,,
#04607d,91.6,SO2,,,
#04627a,92.058,SO2,,,
#046477,92.516,SO2,,,
#046576,92.974,SO2,,,
#046477,93.432,SO2,,,
#046773,93.89,SO2,,,
#056b6e,94.348,SO2,,,
#056a6f,94.806,SO2,,,
#056b6e,95.264,SO2,,,
#056e6b,95.722,SO2,,,
#057068,96.18,SO2,,,
#057166,96.638,SO2,,,
#057168,97.096,SO2,,,
#057265,97.554,SO2,,,
#057462,98.012,SO2,,,
#057463,98.47,SO2,,,
#05795c,98.928,SO2,,,
#05795d,99.386,SO2,,,
#057b59,99.844,SO2,,,
#057c57,100.302,SO2,,,
#057c58,100.76,SO2,,,
#057d57,101.218,SO2,,,
#067e55,101.676,SO2,,,
#06834e,102.134,SO2,,,
#06854c,102.592,SO2,,,
#06834e,103.05,SO2,,,
#06864b,103.508,SO2,,,
#068849,103.966,SO2,,,
#06874a,104.424,SO2,,,
#068749,104.882,SO2,,,
#068946,105.34,SO2,,,
#068b43,105.798,SO2,,,
#068c42,106.256,SO2,,,
#068b43,106.714,SO2,,,
#068e3f,107.172,SO2,,,
#06923a,107.63,SO2,,,
#06913b,108.088,SO2,,,
#079437,108.546,SO2,,,
#079634,109.004,SO2,,,
#079732,109.462,SO2,,,
#079733,109.92,SO2,,,
#079832,110.378,SO2,,,
#079a30,110.836,SO2,,,
#079f29,111.294,SO2,,,
#07a027,111.752,SO2,,,
#07a029,112.21,SO2,,,
#07a226,112.668,SO2,,,
#07a423,113.126,SO2,,,
#07a324,113.584,SO2,,,
#07a323,114.042,SO2,,,
#07a521,114.5,SO2,,,
#08aa1b,114.958,SO2,,,
#08ac19,115.416,SO2,,,
#08ab1b,115.874,SO2,,,
#08ac18,116.332,SO2,,,
#08ad15,116.79,SO2,,,
#08ad16,117.248,SO2,,,
#08ad15,117.706,SO2,,,
#08b012,118.164,SO2,,,
#09b210,118.622,SO2,,,
#09b30f,119.08,SO2,,,
#08b30f,119.538,SO2,,,
#0cb40f,119.996,SO2,,,
#12b50e,120.454,SO2,,,
#11b50e,120.912,SO2,,,
#15b60e,121.37,SO2,,,
#14b60e,121.828,SO2,,,
#18b70e,122.286,SO2,,,
#1ab70e,122.744,SO2,,,
#18b70e,123.202,SO2,,,
#1bb80e,123.66,SO2,,,
#22ba0e,124.118,SO2,,,
#21ba0e,124.576,SO2,,,
#24bb0d,125.034,SO2,,,
#25bb0d,125.492,SO2,,,
#24bb0d,125.95,SO2,,,
#27bc0d,126.408,SO2,,,
#2abd0d,126.866,SO2,,,
#29bd0d,127.324,SO2,,,
#2abd0d,127.782,SO2,,,
#2dbe0d,128.24,SO2,,,
#32c00d,128.698,SO2,,,
#35c00d,129.156,SO2,,,
#33c00d,129.614,SO2,,,
#36c00d,130.072,SO2,,,
#39c10c,130.53,SO2,,,
#38c10c,130.988,SO2,,,
#3cc30c,131.446,SO2,,,
#3bc30c,131.904,SO2,,,
#42c40b,132.362,SO2,,,
#46c50b,132.82,SO2,,,
#44c50b,133.278,SO2,,,
#46c50b,133.736,SO2,,,
#49c60b,134.194,SO2,,,
#4dc70b,134.652,SO2,,,
#4fc80b,135.11,SO2,,,
#51c80b,135.568,SO2,,,
#4fc80b,136.026,SO2,,,
#52c90b,136.484,SO2,,,
#59cb0a,136.942,SO2,,,
#58cb0a,137.4,SO2,,,
#5bcc0a,137.858,SO2,,,
#5ccc0a,138.316,SO2,,,
#5bcc0a,138.774,SO2,,,
#5ecd0a,139.232,SO2,,,
#61ce09,139.69,SO2,,,
#60ce09,140.148,SO2,,,
#61ce09,140.606,SO2,,,
#65cf09,141.064,SO2,,,
#64cf09,141.522,SO2,,,
#6ad109,141.98,SO2,,,
#6dd209,142.438,SO2,,,
#6bd209,142.896,SO2,,,
#6dd209,143.354,SO2,,,
#71d309,143.812,SO2,,,
#70d309,144.27,SO2,,,
#74d408,144.728,SO2,,,
#73d408,145.186,SO2,,,
#79d508,145.644,SO2,,,
#7dd608,146.102,SO2,,,
#7bd608,146.56,SO2,,,
#7dd608,147.018,SO2,,,
#81d708,147.476,SO2,,,
#84d908,147.934,SO2,,,
#85d908,148.392,SO2,,,
#84d908,148.85,SO2,,,
#87da07,149.308,SO2,,,
#8ada07,149.766,SO2,,,
#88da07,150.224,SO2,,,
#8ada07,150.682,SO2,,,
#90dc07,151.14,SO2,,,
#93dd06,151.598,SO2,,,
#94dd06,152.056,SO2,,,
#93dd06,152.514,SO2,,,
#96dd06,152.972,SO2,,,
#99de06,153.43,SO2,,,
#97de06,153.888,SO2,,,
#99de06,154.346,SO2,,,
#a0e106,154.804,SO2,,,
#9fe106,155.262,SO2,,,
#a3e206,155.72,SO2,,,
#a5e306,156.178,SO2,,,
#a3e306,156.636,SO2,,,
#a5e306,157.094,SO2,,,
#a8e405,157.552,SO2,,,
#ace505,158.01,SO2,,,
#abe505,158.468,SO2,,,
#b0e604,158.926,SO2,,,
#b5e704,159.384,SO2,,,
#b4e704,159.842,SO2,,,
#b5e704,160.3,SO2,,,
#b8e904,160.758,SO2,,,
#bbea04,161.216,SO2,,,
#bcea04,161.674,SO2,,,
#bbea04,162.132,SO2,,,
#c0eb04,162.59,SO2,,,
#c5ec04,163.048,SO2,,,
#c4ec04,163.506,SO2,,,
#c8ed03,163.964,SO2,,,
#cbee03,164.422,SO2,,,
#cdee03,164.88,SO2,,,
#cbee03,165.338,SO2,,,
#cdef03,165.796,SO2,,,
#d1f003,166.254,SO2,,,
#d0f003,166.712,SO2,,,
#d7f203,167.17,SO2,,,
#d9f203,167.628,SO2,,,
#d7f203,168.086,SO2,,,
#daf302,168.544,SO2,,,
#ddf402,169.002,SO2,,,
#dbf402,169.46,SO2,,,
#ddf402,169.918,SO2,,,
#e0f502,170.376,SO2,,,
#e3f602,170.834,SO2,,,
#e2f502,171.292,SO2,,,
#e7f701,171.75,SO2,,,
#ecfa01,172.208,SO2,,,
#ebf901,172.666,SO2,,,
#ecf901,173.124,SO2,,,
#f0fa01,173.582,SO2,,,
#f3fb01,174.04,SO2,,,
#f4fb01,174.498,SO2,,,
#f3fb01,174.956,SO2,,,
#f7fc01,175.414,SO2,,,
#fdfd00,175.872,SO2,,,
#fcfd00,176.33,SO2,,,
#fefc00,176.788,SO2,,,
#fefa00,177.246,SO2,,,
#fef900,177.704,SO2,,,
#fefa00,178.162,SO2,,,
#fef800,178.62,SO2,,,
#fef500,179.078,SO2,,,
#feee00,179.536,SO2,,,
#feec00,179.994,SO2,,,
#feee00,180.452,SO2,,,
#feeb00,180.91,SO2,,,
#fee800,181.368,SO2,,,
#fee900,181.826,SO2,,,
#fee800,182.284,SO2,,,
#fee500,182.742,SO2,,,
#fedf00,183.2,SO2,,,
#fedc00,183.658,SO2,,,
#fede00,184.116,SO2,,,
#fedb00,184.574,SO2,,,
#fed800,185.032,SO2,,,
#fed900,185.49,SO2,,,
#fed500,185.948,SO2,,,
#fed200,186.406,SO2,,,
#fed000,186.864,SO2,,,
#fed200,187.322,SO2,,,
#fece00,187.78,SO2,,,
#fec800,188.238,SO2,,,
#fec900,188.696,SO2,,,
#fec500,189.154,SO2,,,
#fec600,189.612,SO2,,,
#fec300,190.07,SO2,,,
#fec000,190.528,SO2,,,
#fec200,190.986,SO2,,,
#febf00,191.444,SO2,,,
#feb900,191.902,SO2,,,
#feba00,192.36,SO2,,,
#feb700,192.818,SO2,,,
#feb600,193.276,SO2,,,
#feb700,193.734,SO2,,,
#feb400,194.192,SO2,,,
#feb000,194.65,SO2,,,
#feb100,195.108,SO2,,,
#feb000,195.566,SO2,,,
#fead00,196.024,SO2,,,
#feae00,196.482,SO2,,,
#fea700,196.94,SO2,,,
#fea400,197.398,SO2,,,
#fea500,197.856,SO2,,,
#fea400,198.314,SO2,,,
#fea200,198.772,SO2,,,
#fe9e00,199.23,SO2,,,
#fe9f00,199.688,SO2,,,
#fe9b00,200.146,SO2,,,
#fe9900,200.604,SO2,,,
#fe9b00,201.062,SO2,,,
#fe9800,201.52,SO2,,,
#fe9100,201.978,SO2,,,
#fe9200,202.436,SO2,,,
#fe8e00,202.894,SO2,,,
#fe8f00,203.352,SO2,,,
#fe8c00,203.81,SO2,,,
#fe8900,204.268,SO2,,,
#fe8b00,204.726,SO2,,,
#fe8800,205.184,SO2,,,
#fe8200,205.642,SO2,,,
#fe7f00,206.1,SO2,,,
#fe7e00,206.558,SO2,,,
#fe7f00,207.016,SO2,,,
#fe7c00,207.474,SO2,,,
#fe7900,207.932,SO2,,,
#fe7a00,208.39,SO2,,,
#fe7600,208.848,SO2,,,
#fe7700,209.306,SO2,,,
#fe7100,209.764,SO2,,,
#fe6d00,210.222,SO2,,,
#fe6f00,210.68,SO2,,,
#fe6d00,211.138,SO2,,,
#fe6900,211.596,SO2,,,
#fe6a00,212.054,SO2,,,
#fe6700,212.512,SO2,,,
#fe6800,212.97,SO2,,,
#fe6200,213.428,SO2,,,
#fe5e00,213.886,SO2,,,
#fe5f00,214.344,SO2,,,
#fe5e00,214.802,SO2,,,
#fe5b00,215.26,SO2,,,
#fe5800,215.718,SO2,,,
#fe5700,216.176,SO2,,,
#fe5800,216.634,SO2,,,
#fe5500,217.092,SO2,,,
#fe5200,217.55,SO2,,,
#fe5400,218.008,SO2,,,
#fe5200,218.466,SO2,,,
#fe4b00,218.924,SO2,,,
#fe4800,219.382,SO2,,,
#fe4600,219.84,SO2,,,
